sunshine,,,,,,,,,,,,
city,month,month_num,temp_low,temp_high,precip_days,precip_inches,sunshine_hours,latitude,longitude,avg_temp,CityMonth,Passengers
Seattle,Jan,0,37,47,18,5.55,69,47.608013,-122.335167,42,Seattle-0,1497375
Seattle,Feb,1,37,50,14,3.46,108,47.608013,-122.335167,43.5,Seattle-1,1363324
Seattle,Mar,2,39,54,16,3.7,178,47.608013,-122.335167,46.5,Seattle-2,1770807
Seattle,Apr,3,42,58,14,2.68,207,47.608013,-122.335167,50,Seattle-3,1695917
Seattle,May,4,47,65,12,1.93,253,47.608013,-122.335167,56,Seattle-4,1896037
Seattle,Jun,5,52,70,9,1.54,268,47.608013,-122.335167,61,Seattle-5,2109398
Seattle,Jul,6,56,76,5,0.67,312,47.608013,-122.335167,66,Seattle-6,2273244
Seattle,Aug,7,56,76,4,0.87,281,47.608013,-122.335167,66,Seattle-7,2292689
Seattle,Sep,8,52,71,7,1.42,221,47.608013,-122.335167,61.5,Seattle-8,1906992
Seattle,Oct,9,46,60,13,3.46,142,47.608013,-122.335167,53,Seattle-9,1850230
Seattle,Nov,10,40,51,18,6.54,72,47.608013,-122.335167,45.5,Seattle-10,1679258
Seattle,Dec,11,36,46,17,5.31,52,47.608013,-122.335167,41,Seattle-11,1881190
San Francisco,Jan,0,53,66,2,0.16,165,37.733795,-122.446747,59.5,San Francisco-0,1417096
San Francisco,Feb,1,54,67,1,0.01,182,37.733795,-122.446747,60.5,San Francisco-1,1325753
San Francisco,Mar,2,51,64,4,0.7,251,37.733795,-122.446747,57.5,San Francisco-2,1684849
San Francisco,Apr,3,49,63,6,1.46,281,37.733795,-122.446747,56,San Francisco-3,1666560
San Francisco,May,4,49,62,10,3.26,314,37.733795,-122.446747,55.5,San Francisco-4,1759710
San Francisco,Jun,5,47,60,11,4.46,330,37.733795,-122.446747,53.5,San Francisco-5,1942856
San Francisco,Jul,6,46,57,11,4.5,300,37.733795,-122.446747,51.5,San Francisco-6,1972401
San Francisco,Aug,7,55,68,1,0.06,272,37.733795,-122.446747,61.5,San Francisco-7,2056336
San Francisco,Sep,8,55,70,1,0.21,267,37.733795,-122.446747,62.5,San Francisco-8,1532239
San Francisco,Oct,9,54,69,4,1.12,243,37.733795,-122.446747,61.5,San Francisco-9,1732968
San Francisco,Nov,10,50,63,7,3.16,189,37.733795,-122.446747,56.5,San Francisco-10,1598847
San Francisco,Dec,11,46,57,10,4.56,156,37.733795,-122.446747,51.5,San Francisco-11,1698127
Chicago,Jan,0,18,32,10,2.05,135,41.881832,-87.623177,25,Chicago-0,2144119
Chicago,Feb,1,21,36,8,1.93,136,41.881832,-87.623177,28.5,Chicago-1,2195491
Chicago,Mar,2,30,46,11,2.72,187,41.881832,-87.623177,38,Chicago-2,2867176
